	id	title	genre	runtime	release_dt	budget	us_boxoffice_gross	mpaa_rating	user_rating	total_votes	critic_score
1207	13325	I Didnt Come Here to Die	Comedy, Horror	80	7 January 2012	$100,000	565	Not Rated	5.4	565	0
1208	13327	Gone with the Pope	Crime	83	12 March 2010	$100,000	306	Unrated	6.3	306	0
1209	13328	Dont Fade Away	Drama	89	2011 	$2,400,000	301	Empty	5.3	301	0
1210	13331	Dark Woods	Thriller	103	6 March 2010	$1,000,000	357	Not Rated	4.2	357	0
1211	13333	The Dead Undead	Action, Horror, Sci-Fi	90	13 May 2010	$1,100,000	765	R	3.0	765	0
1212	13336	Closed for the Season	Horror, Thriller	114	12 March 2010	$250,000	452	Not Rated	3.2	452	0
1213	13338	A Numbers Game	Comedy	76	15 April 2010	$1,900,000	218	Empty	4.0	218	0
1214	13339	Mob Rules	Action, Crime, Thriller	97	2010 (UK)	$200,000	248	R	4.5	248	0
1215	13344	28 Hours Later: The Zombie Movie	Action, Comedy, Horror	56	30 October 2010	$6,478	100	Not Rated	5.0	100	0
1216	13347	Living Will...	Comedy	101	10 September 2013	$300,000	553	R	4.6	553	0
1217	13354	Shut Up and Kiss Me	Comedy, Romance	78	13 July 2010	$15,500	358	R	4.2	358	0
1218	13355	Cupids Arrow	Comedy, Drama	0	2010 	$1,000,000	254	R	4.9	254	0
1219	13363	Kalamity	Drama, Thriller	98	22 October 2010	$1,200,000	366	R	5.1	366	28
1220	13367	Perfect Life	Horror, Thriller	98	27 April 2010	$10,000,000	389	R	4.3	389	0
1221	13371	Standing Firm	Drama	81	24 August 2010	$50,000	167	Not Rated	6.0	167	0
1222	13372	The Hooker with a Heart of Gold	Action, Comedy, Thriller	149	4 February 2011	$10,000	229	R	7.1	229	0
1223	13376	Perfect Combination	Comedy, Romance	92	4 May 2010	$250,000	251	R	3.9	251	0
1224	13379	The Portal	Horror	86	2010 	$3,500,000	402	Empty	4.1	402	0
1225	13380	The Killing of Jacob Marr	Horror	110	1 October 2010	$15,500	188	Empty	4.6	188	0
1226	13385	Andersons Cross	Comedy, Drama, Romance	98	20 May 2010	$300,000	101	R	5.5	101	0
1227	13392	King of the Avenue	Drama, Fantasy, Thriller	83	17 September 2010	$2,500,000	430	R	4.0	430	0
1228	13397	Atlantis Down	Action, Sci-Fi	95	1 October 2010	$1,000,000	$0.01M	Empty	4.4	349	0
1229	13400	Virus X	Horror, Sci-Fi	85	1 October 2010	$90,000	511	R	2.8	511	0
1230	13405	The Trouble with Terkel	Animation, Comedy, Drama	87	20 May 2011	$1,000,000	$0.11M	R	7.2	128	0
1231	13406	Defcon 2012	Sci-Fi	92	28 February 2010	$35,000	341	Not Rated	2.0	341	0
1232	13408	Sella Turcica	Horror, Thriller	106	13 October 2010	$20,000	239	Empty	5.1	239	0
1233	13409	Black Limousine	Drama	102	19 October 2010	$2,000,000	210	R	4.8	210	0
1234	13410	The Last Harbor	Mystery, Thriller	91	2010 	$8,000,000	191	Empty	4.6	191	0
1235	13412	Baby Jane?	Comedy	95	22 June 2010	$50,000	107	Empty	6.9	107	0
1236	13422	Enemies Among Us	Action, Drama, Thriller	76	2010 	$100,000	481	R	2.3	481	0
1237	13431	Deadly Closure	Action, Drama, Mystery	100	13 April 2011	$250,000	289	R	2.4	289	0
1238	13434	Spilt Milk	Comedy	82	2011 	$150,000	113	Empty	5.8	113	0
1239	13437	The Waiter	Action, Crime, Drama	92	14 March 2010	$1,235,000	218	Not Rated	6.5	218	0
